iter	RMSE
0	0.8409315301
1	0.7752352809
2	0.7335435155
3	0.6964142195
4	0.6673728355
5	0.6268612857
6	0.5934772848
7	0.5788368636
8	0.5584438633
9	0.5329096042
10	0.5162261316
11	0.4809712745
12	0.4638700727
13	0.4336628981
14	0.4056702029
15	0.3841313335
16	0.3681791943
17	0.3559624896
18	0.3320606921
19	0.3138653487
20	0.3023583743
21	0.2828920955
22	0.2643308564
23	0.2554452475
24	0.2364286787
25	0.2206890138
26	0.2113932599
27	0.198582968
28	0.1868153494
29	0.1804901409
30	0.1684919336
31	0.1618193913
32	0.1528625002
33	0.1413766973
